battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
47Wh,5200MHz,3-100U,100U,Intel,"4.70GHz,",Intel®,Lenovo,15.050.000,8GB,DDR5,1920x1080,15.6,512GB,1.61 kg
60WHr,5200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.700.000,16GB(1x,DDR5,1920x1200,14.0,512GB,1.38 kg
54Whr,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,23.990.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.62 kg
60WHr,5200MHz,i5,13500H,Intel,"4.70GHz,",Intel®,Lenovo,27.410.000,32GB(2x,DDR5,1920x1200,14.0,1TB,1.38 kg
"50WHrs,",3200MHz,i9,13900H,Intel,"5.40GHz,",Intel,Asus,24.990.000,16GB,DDR4,2880 x 1620,15.6,512GB,1.70 kg
"50WHrs,",3200MHz,i5,12500H,Intel,"4.5GHz,",Intel,Asus,17.990.000,16GB,DDR4,2880 x 1800,14,512GB,1.45 kg
59Wh,6400MHz,5,8640HS,AMD,"4.90GHz,",AMD,HP,18.990.000,16GB,LPDDR5,1920 x 1200,14,512GB,1.4 kg
45WHr,5200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,23.430.000,16GB(2x,DDR5,1920x1200,14.0,1TB,1.38 kg
54WHrs,5200MHz,7,150U,Intel,"5.40GHz,",NVIDIA®,Dell,28.990.000,16GB,DDR5,1920 x 1200,16.0,1TB,Ice Blue (Xanh)
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,36.590.000,32GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
"3S1P,",8448MHz,EliteX1E,X,Snapdragon,"3.4GHz,",Qualcomm,Asus,34.990.000,32GB,LPDDR5X,2880 x 1620,15.6,1TB,1.42 kg
69.5Whr,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,46.990.000,16GB,LPDDR5x,1920 x 1200,14.5,512GB,1.68 kg
57Wh,6400MHz,i7,1360P,Intel,"5.00GHz,",Intel®,Lenovo,40.990.000,16GB,DDR5,1920x1200,14,512GB,1.48 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.580.000,8GB,DDR4,1920x1200,16.0,512GB,1.81 kg
59Wh,6400MHz,7,8840HS,AMD,"5.10GHz,",AMD,HP,33.990.000,16GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
