battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
57Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Acer,28.790.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
57Wh,5600MHz,5,8645HS,AMD,"5.00GHz,",NVIDIA®,Acer,27.490.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
"70WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,ASUS,28.490.000,16GB,DDR4,1920x1200,16,512GB,Indie Black (Đen)
"48WHrs,",5600MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,22.990.000,16GB,DDR5,1920 x 1080,15.6-,512GB,2.30 Kg
"50WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,ASUS,24.990.000,16GB,DDR4,1920x1200,16,512GB,Indie Black (Đen)
"90WHrs,",5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA® GeForce RTX™ 4060,Asus,32.990.000,16GB,DDR5,1920 x 1080,15.6,1TB,2.20 Kg
60WH,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,33.990.000,24GB,DDR5,1920 x 1080,15.6,512GB,2.45 kg
60Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Lenovo,31.990.000,16GB,DDR5,1920x1080,15.6,1TB,Luna Grey (Xám)
90WHrs,4800MHz,7,7735HS,AMD,"4.70GHz,",AMD,Asus,24.990.000,16GB,DDR5,1920 x 1200,16.0,512GB,2.20Kg
60WH,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,37.990.000,24GB,DDR5,1920 x 1080,15.6,512GB,2.32 kg
99.9WHrs,5600MHz,Ultra9,185H,Intel,"5.40GHz,",Nvidia,MSI,102.990.000,64GB,DDR5,3840x2400,18,2TB,2.89 kg
73WHrs,7500MHz,AI9,HX,AMD,"5.10GHz,",NVIDIA®,ASUS,46.990.000,32GB,LPDDR5X,"2560 x 1600, WQXGA",14,1TB,1.46Kg
99Wh,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Gigabyte,36.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.3 kg
73WHrs,7500MHz,AI9,HX,AMD,"5.10GHz,",NVIDIA®,ASUS,44.990.000,16GB,LPDDR5X,"2560 x 1600, WQXGA",14,1TB,1.46Kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,35.490.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,35.490.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
57Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Acer,31.990.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
