Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
38,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1080,15.6,512.0,1.65,16090000
57,6400,7,1360.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.48,36990000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,1024.0,1.09,57370000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,33210000
47,5200,7,150.0,Intel,5.40,Integrated,Lenovo,16,DDR5,1920x1080,14.0,512.0,1.37,22980000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.09,54290000
71,3200,5,7530.0,AMD,4.50,Amd,Lenovo,16,DDR4,2560x1600,16.0,1024.0,1.7,23070000
45,5600,Ultra5,125.0,Intel,4.30,Integrated,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.38,23980000
45,4800,5,7535.0,AMD,4.55,Amd,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.7,21790000
45,5600,Ultra5,125.0,Intel,4.30,Integrated,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,20990000
45,4800,5,7535.0,AMD,4.55,Amd,Lenovo,16,DDR5,1920x1200,16.0,1024.0,1.7,22880000
45,5600,Ultra5,125.0,Intel,4.30,Integrated,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,22880000
57,3200,5,1335.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,14.0,512.0,1.43,21610000
